"io_sector","total_employment","total_wages_billions","avg_wage","states_with_data"
"711AS",710541,69.157987799,97331.4527930126,51
"713",1776079,53.093166936,29893.4714818429,51
"721",1870322,77.663805333,41524.2965291538,51
"722",12095610,322.695533929,26678.7316992694,51
